survey_id,user_id,reservation_id,nps_score,satisfaction_score,inconvenience,info_reliability_score,improvements
18,user02,R2026031301015,7,4,공간은 넓었지만 청소 상태가 불량했습니다. 이전 이용자의 흔적이 남아 있었어요.,4,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
19,user01,R2026031301028,4,3,직원 응대가 불친절했고 입실 안내도 제대로 이루어지지 않았습니다.,4,예약 시 공간 이용 규칙을 더 명확히 안내해 주셨으면 합니다.
20,user07,R2026031301034,8,4,체크인 과정이 간편하고 빨랐습니다. 시설 이용에 전혀 불편함이 없었어요.,5,포인트 적립 및 사용 기능이 있으면 재방문 유도에 도움이 될 것 같습니다.
21,user04,R2026031301052,0,2,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,2,이용 후기 작성 시 사진도 첨부할 수 있으면 더 좋겠습니다.
22,user02,R2026031301057,0,2,전체적으로 깔끔하고 현대적인 인테리어가 마음에 들었습니다.,3,카카오페이 등 간편결제 수단이 추가되었으면 합니다. 결제 옵션이 다양해지면 좋겠어요.
23,user05,R2026031301060,7,3,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,4,지도에서 공간 위치 확인 기능이 개선되었으면 합니다. 현재는 정확도가 떨어집니다.
24,user02,R2026031301064,6,3,냉방 시설이 과도하게 강해서 춥게 느껴졌습니다. 온도 조절이 필요해 보였어요.,3,결제 단계가 너무 복잡합니다. 원클릭 결제 기능이 추가되면 편리할 것 같아요.
25,user03,R2026031301065,1,2,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,1,공간 오너와 직접 메시지를 주고받을 수 있는 채팅 기능이 있으면 좋겠어요.
26,user05,R2026031301067,0,2,직원분들이 매우 친절하셨고 안내도 잘 해주셨어요. 덕분에 즐거운 시간을 보낼 수 있었습니다.,3,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
27,user06,R2026031301068,4,2,전체적으로 깔끔하고 현대적인 인테리어가 마음에 들었습니다.,1,카카오페이 등 간편결제 수단이 추가되었으면 합니다. 결제 옵션이 다양해지면 좋겠어요.
28,user07,R2026031301069,8,5,공간이 넓고 채광도 좋아서 만족스러웠습니다. 다만 와이파이 연결이 불안정한 편이었어요.,4,환경 친화적인 공간 필터 옵션이 있으면 좋겠습니다.
29,user07,R2026031301076,10,4,공간이 넓고 채광도 좋아서 만족스러웠습니다. 다만 와이파이 연결이 불안정한 편이었어요.,4,공간 사진이 더 많이 첨부되어 있으면 좋겠습니다. 다양한 각도의 이미지가 도움이 될 것 같아요.
30,user01,R2026031301084,9,5,전체적으로 훌륭한 시설이었습니다. 특히 위치가 좋아 접근성이 매우 뛰어났어요.,3,카카오페이 등 간편결제 수단이 추가되었으면 합니다. 결제 옵션이 다양해지면 좋겠어요.
31,user02,R2026031301085,8,5,소음이 생각보다 좀 있었지만 전체적으로 이용하기 좋은 환경이었습니다.,4,결제 단계가 너무 복잡합니다. 원클릭 결제 기능이 추가되면 편리할 것 같아요.
32,user07,R2026031301090,0,2,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,3,고객센터 응답이 더 빨라졌으면 합니다. 문의 후 답변까지 시간이 너무 걸립니다.
33,user01,R2026031301098,10,5,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,4,고객센터 응답이 더 빨라졌으면 합니다. 문의 후 답변까지 시간이 너무 걸립니다.
34,user03,R2026031301100,7,5,주변 소음이 심해서 집중이 어려웠습니다. 방음 시설 개선이 필요해 보였어요.,4,환경 친화적인 공간 필터 옵션이 있으면 좋겠습니다.
35,user01,R2026031301105,8,5,전체적으로 깔끔하고 현대적인 인테리어가 마음에 들었습니다.,3,공간 사진이 더 많이 첨부되어 있으면 좋겠습니다. 다양한 각도의 이미지가 도움이 될 것 같아요.
36,user07,R2026031301111,7,4,냉방 시설이 과도하게 강해서 춥게 느껴졌습니다. 온도 조절이 필요해 보였어요.,3,고객센터 응답이 더 빨라졌으면 합니다. 문의 후 답변까지 시간이 너무 걸립니다.
37,user03,R2026031301114,4,2,소음이 생각보다 좀 있었지만 전체적으로 이용하기 좋은 환경이었습니다.,1,이용 후기 작성 시 사진도 첨부할 수 있으면 더 좋겠습니다.
38,user06,R2026031301117,7,5,냉난방 시스템이 잘 작동하여 쾌적하게 이용할 수 있었습니다. 인테리어도 감각적이었어요.,5,공간 리뷰의 신뢰성 검증 기능이 있으면 좋겠습니다. 허위 리뷰 방지가 필요합니다.
39,user07,R2026031301118,9,4,공간은 넓었지만 청소 상태가 불량했습니다. 이전 이용자의 흔적이 남아 있었어요.,3,다국어 지원이 되면 외국인 이용자에게도 편리할 것 같습니다.
40,user02,R2026031301120,6,3,공간이 전반적으로 깔끔하고 잘 정돈되어 있었습니다. 다만 주차 공간이 협소해서 이용 시 불편함이 있었어요.,3,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
41,user05,R2026031301123,0,2,가격 대비 시설이 훌륭했습니다. 다음에도 꼭 다시 이용하고 싶습니다.,3,예약 확정 후 자동 알림 기능이 강화되었으면 합니다. 이메일과 문자 동시 발송이면 좋겠어요.
42,user02,R2026031301127,6,3,사진과 실제 공간의 차이가 있었습니다. 실제로는 더 좁게 느껴졌어요.,3,공간 사용 후 청소 상태 확인 체크리스트 기능이 있으면 분쟁을 줄일 수 있을 것 같아요.
43,user05,R2026031301130,5,2,"예약 시간에 정확하게 입장 가능했고, 시설도 잘 관리되어 있었습니다.",3,예약 대기 기능이 있으면 좋겠습니다. 원하는 날짜가 마감됐을 때 유용할 것 같아요.
44,user07,R2026031301132,0,2,엘리베이터가 없어서 짐이 많을 경우 이용하기 불편했습니다. 시설 자체는 만족스러웠어요.,3,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
45,user01,R2026031301133,6,3,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,4,가격 비교 기능이 있으면 좋을 것 같습니다. 유사 공간과의 가격 비교를 원합니다.
46,user02,R2026031301134,9,5,공간은 넓었지만 청소 상태가 불량했습니다. 이전 이용자의 흔적이 남아 있었어요.,3,고객센터 응답이 더 빨라졌으면 합니다. 문의 후 답변까지 시간이 너무 걸립니다.
47,user06,R2026031301138,10,5,공간 규모에 비해 편의시설이 부족한 느낌이었습니다. 특히 음료를 구입할 수 있는 곳이 없었어요.,5,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
48,user01,R2026031301140,2,2,직원분들이 매우 친절하셨고 안내도 잘 해주셨어요. 덕분에 즐거운 시간을 보낼 수 있었습니다.,3,장기 예약 시 할인 혜택이 있으면 더 적극적으로 이용할 것 같습니다.
49,user03,R2026031301142,7,4,공간이 넓고 채광도 좋아서 만족스러웠습니다. 다만 와이파이 연결이 불안정한 편이었어요.,4,추천 알고리즘이 개선되어 취향에 맞는 공간을 더 잘 찾아줬으면 좋겠습니다.
50,user03,R2026031301149,8,5,조명이 약간 어두운 편이었지만 전체적인 분위기는 매우 좋았습니다.,3,공간 리뷰의 신뢰성 검증 기능이 있으면 좋겠습니다. 허위 리뷰 방지가 필요합니다.
51,user01,R2026031301161,1,2,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,3,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
52,user02,R2026031301162,4,3,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,3,정기 이용권 또는 멤버십 할인 제도가 생겼으면 합니다.
53,user04,R2026031301171,9,5,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,4,리뷰 작성 기능이 더 다양한 항목으로 나뉘어져 있으면 좋겠습니다. 세부 평가가 가능했으면 해요.
54,user05,R2026031301172,7,3,시설 내 편의용품이 잘 구비되어 있어 매우 편리했습니다. 재방문 의사 있습니다.,3,추천 알고리즘이 개선되어 취향에 맞는 공간을 더 잘 찾아줬으면 좋겠습니다.
55,user03,R2026031301177,9,5,공간은 넓었지만 청소 상태가 불량했습니다. 이전 이용자의 흔적이 남아 있었어요.,3,모바일 앱에서 예약 내역 조회가 더 직관적이었으면 합니다. 현재 UI가 복잡합니다.
56,user04,R2026031301178,4,2,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,2,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
57,user05,R2026031301179,3,2,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,3,예약 취소 및 환불 정책이 더 유연해졌으면 좋겠습니다. 현재는 다소 제한적입니다.
58,user03,R2026031301184,6,3,체크인 과정이 간편하고 빨랐습니다. 시설 이용에 전혀 불편함이 없었어요.,3,검색 필터 기능이 더 세분화되었으면 좋겠습니다. 현재는 너무 단순한 것 같아요.
59,user02,R2026031301190,9,4,주변 소음이 심해서 집중이 어려웠습니다. 방음 시설 개선이 필요해 보였어요.,5,카카오페이 등 간편결제 수단이 추가되었으면 합니다. 결제 옵션이 다양해지면 좋겠어요.
60,user07,R2026031301195,7,3,조명이 약간 어두운 편이었지만 전체적인 분위기는 매우 좋았습니다.,4,장기 예약 시 할인 혜택이 있으면 더 적극적으로 이용할 것 같습니다.
61,user05,R2026031301207,7,5,체크인 과정이 간편하고 빨랐습니다. 시설 이용에 전혀 불편함이 없었어요.,4,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
62,user03,R2026031301212,10,5,인테리어가 아늑하고 분위기가 좋았습니다. 사진 찍기에도 최적의 장소였어요.,5,가격 비교 기능이 있으면 좋을 것 같습니다. 유사 공간과의 가격 비교를 원합니다.
63,user07,R2026031301216,9,4,사진과 실제 공간의 차이가 있었습니다. 실제로는 더 좁게 느껴졌어요.,3,공간 오너와 직접 메시지를 주고받을 수 있는 채팅 기능이 있으면 좋겠어요.
64,user06,R2026031301222,5,3,소음이 생각보다 좀 있었지만 전체적으로 이용하기 좋은 환경이었습니다.,2,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
65,user07,R2026031301223,8,5,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,5,예약 시 공간 이용 규칙을 더 명확히 안내해 주셨으면 합니다.
66,user01,R2026031301224,0,2,냉방 시설이 과도하게 강해서 춥게 느껴졌습니다. 온도 조절이 필요해 보였어요.,2,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
67,user03,R2026031301233,4,2,화장실 위치가 불편했고 공용이라 사용하기 어색했습니다.,1,공간 사용 후 청소 상태 확인 체크리스트 기능이 있으면 분쟁을 줄일 수 있을 것 같아요.
68,user05,R2026031301235,10,4,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,5,결제 단계가 너무 복잡합니다. 원클릭 결제 기능이 추가되면 편리할 것 같아요.
69,user01,R2026031301259,7,3,시설 내 편의용품이 잘 구비되어 있어 매우 편리했습니다. 재방문 의사 있습니다.,3,공간 사용 후 청소 상태 확인 체크리스트 기능이 있으면 분쟁을 줄일 수 있을 것 같아요.
70,user01,R2026031301266,8,5,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,4,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
71,user02,R2026031301267,9,4,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,5,예약 시 공간 이용 규칙을 더 명확히 안내해 주셨으면 합니다.
72,user05,R2026031301270,4,3,예약 변경이 유연하게 가능해서 만족스러웠습니다. 친절한 서비스였어요.,3,공간 사진이 더 많이 첨부되어 있으면 좋겠습니다. 다양한 각도의 이미지가 도움이 될 것 같아요.
73,user06,R2026031301271,7,3,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,3,앱 다크모드를 지원해 주세요. 야간 이용 시 눈이 피로합니다.
74,user01,R2026031301273,2,2,예약 변경이 유연하게 가능해서 만족스러웠습니다. 친절한 서비스였어요.,2,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
75,user03,R2026031301282,7,3,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,2,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
76,user04,R2026031301283,8,5,시설 내 인터넷 속도가 느려서 업무 진행에 어려움이 있었습니다.,4,리뷰 작성 기능이 더 다양한 항목으로 나뉘어져 있으면 좋겠습니다. 세부 평가가 가능했으면 해요.
77,user01,R2026031301287,5,2,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,2,예약 대기 기능이 있으면 좋겠습니다. 원하는 날짜가 마감됐을 때 유용할 것 같아요.
78,user06,R2026031301292,9,5,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,3,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
79,user07,R2026031301293,9,5,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,3,추천 알고리즘이 개선되어 취향에 맞는 공간을 더 잘 찾아줬으면 좋겠습니다.
80,user01,R2026031301294,4,3,직원 응대가 불친절했고 입실 안내도 제대로 이루어지지 않았습니다.,4,리뷰 작성 기능이 더 다양한 항목으로 나뉘어져 있으면 좋겠습니다. 세부 평가가 가능했으면 해요.
81,user03,R2026031301296,5,3,엘리베이터가 없어서 짐이 많을 경우 이용하기 불편했습니다. 시설 자체는 만족스러웠어요.,2,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
82,user07,R2026031301307,9,4,전반적으로 깨끗하고 쾌적했습니다. 위치 접근성도 좋아서 다시 이용하고 싶네요.,3,고객센터 응답이 더 빨라졌으면 합니다. 문의 후 답변까지 시간이 너무 걸립니다.
83,user01,R2026031301308,7,4,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,5,다국어 지원이 되면 외국인 이용자에게도 편리할 것 같습니다.
84,user02,R2026031301309,4,3,공간이 넓고 채광도 좋아서 만족스러웠습니다. 다만 와이파이 연결이 불안정한 편이었어요.,4,장기 예약 시 할인 혜택이 있으면 더 적극적으로 이용할 것 같습니다.
85,user04,R2026031301311,4,2,주차가 어려웠지만 공간 자체는 매력적이었습니다. 대중교통 이용을 권장합니다.,1,예약 확정 후 자동 알림 기능이 강화되었으면 합니다. 이메일과 문자 동시 발송이면 좋겠어요.
86,user03,R2026031301317,7,4,주차가 어려웠지만 공간 자체는 매력적이었습니다. 대중교통 이용을 권장합니다.,4,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
87,user02,R2026031301323,7,3,전체적으로 깔끔하고 현대적인 인테리어가 마음에 들었습니다.,2,앱 다크모드를 지원해 주세요. 야간 이용 시 눈이 피로합니다.
88,user05,R2026031301326,10,5,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,5,가격 비교 기능이 있으면 좋을 것 같습니다. 유사 공간과의 가격 비교를 원합니다.
89,user06,R2026031301327,10,4,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,3,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
90,user02,R2026031301330,3,2,공간은 넓었지만 청소 상태가 불량했습니다. 이전 이용자의 흔적이 남아 있었어요.,2,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
91,user07,R2026031301342,9,4,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,5,공간 리뷰의 신뢰성 검증 기능이 있으면 좋겠습니다. 허위 리뷰 방지가 필요합니다.
92,user03,R2026031301345,8,5,전체적으로 훌륭한 시설이었습니다. 특히 위치가 좋아 접근성이 매우 뛰어났어요.,5,리뷰 작성 기능이 더 다양한 항목으로 나뉘어져 있으면 좋겠습니다. 세부 평가가 가능했으면 해요.
93,user06,R2026031301348,2,2,주차가 어려웠지만 공간 자체는 매력적이었습니다. 대중교통 이용을 권장합니다.,1,앱 다크모드를 지원해 주세요. 야간 이용 시 눈이 피로합니다.
94,user07,R2026031301349,10,4,화장실 위치가 불편했고 공용이라 사용하기 어색했습니다.,5,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
95,user02,R2026031301358,9,4,전반적으로 깨끗하고 쾌적했습니다. 위치 접근성도 좋아서 다시 이용하고 싶네요.,3,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
96,user01,R2026031301364,5,3,냉방 시설이 과도하게 강해서 춥게 느껴졌습니다. 온도 조절이 필요해 보였어요.,2,결제 후 영수증을 앱 내에서도 확인할 수 있으면 좋겠습니다.
97,user03,R2026031301373,1,2,공간이 전반적으로 깔끔하고 잘 정돈되어 있었습니다. 다만 주차 공간이 협소해서 이용 시 불편함이 있었어요.,2,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
98,user05,R2026031301375,6,3,"예약 시간에 정확하게 입장 가능했고, 시설도 잘 관리되어 있었습니다.",2,포인트 적립 및 사용 기능이 있으면 재방문 유도에 도움이 될 것 같습니다.
99,user04,R2026031301381,0,2,공간 내 냄새가 좀 났습니다. 환기가 잘 안 되는 것 같았어요.,3,첫 이용자를 위한 튜토리얼이나 가이드가 있으면 좋겠습니다.
100,user05,R2026031301382,2,2,조용한 환경이 마음에 들었습니다. 일에 집중하기 정말 좋은 곳이었어요.,2,예약 확정 후 자동 알림 기능이 강화되었으면 합니다. 이메일과 문자 동시 발송이면 좋겠어요.
101,user03,R2026031301387,1,2,시설 이용 설명서가 없어서 처음 이용하기에 다소 불편했습니다.,1,검색 필터 기능이 더 세분화되었으면 좋겠습니다. 현재는 너무 단순한 것 같아요.
102,user03,R2026031301394,8,5,사진과 실제 공간의 차이가 있었습니다. 실제로는 더 좁게 느껴졌어요.,5,환경 친화적인 공간 필터 옵션이 있으면 좋겠습니다.
103,user01,R2026031301399,7,4,엘리베이터가 없어서 짐이 많을 경우 이용하기 불편했습니다. 시설 자체는 만족스러웠어요.,5,예약 대기 기능이 있으면 좋겠습니다. 원하는 날짜가 마감됐을 때 유용할 것 같아요.
104,user04,R2026031301402,1,2,공간이 전반적으로 깔끔하고 잘 정돈되어 있었습니다. 다만 주차 공간이 협소해서 이용 시 불편함이 있었어요.,1,공간 리뷰의 신뢰성 검증 기능이 있으면 좋겠습니다. 허위 리뷰 방지가 필요합니다.
105,user01,R2026031301406,10,5,주변 소음이 심해서 집중이 어려웠습니다. 방음 시설 개선이 필요해 보였어요.,4,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
106,user04,R2026031301409,5,2,직원 응대가 불친절했고 입실 안내도 제대로 이루어지지 않았습니다.,1,환경 친화적인 공간 필터 옵션이 있으면 좋겠습니다.
107,user07,R2026031301412,4,2,공간 규모에 비해 편의시설이 부족한 느낌이었습니다. 특히 음료를 구입할 수 있는 곳이 없었어요.,1,예약 확정 후 자동 알림 기능이 강화되었으면 합니다. 이메일과 문자 동시 발송이면 좋겠어요.
108,user06,R2026031301418,1,2,주변 소음이 심해서 집중이 어려웠습니다. 방음 시설 개선이 필요해 보였어요.,2,결제 단계가 너무 복잡합니다. 원클릭 결제 기능이 추가되면 편리할 것 같아요.
109,user03,R2026031301422,3,2,음향 시설이 잘 갖춰져 있어서 만족스러웠습니다. 행사 진행에 최적이었어요.,3,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
110,user04,R2026031301423,10,5,체크인 과정이 간편하고 빨랐습니다. 시설 이용에 전혀 불편함이 없었어요.,3,예약 대기 기능이 있으면 좋겠습니다. 원하는 날짜가 마감됐을 때 유용할 것 같아요.
111,user05,R2026031301424,0,2,"시설 자체는 만족스러웠지만, 화장실 청결 상태가 기대에 미치지 못했습니다.",1,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
112,user07,R2026031301426,1,2,시설 내 편의용품이 잘 구비되어 있어 매우 편리했습니다. 재방문 의사 있습니다.,2,첫 이용자를 위한 튜토리얼이나 가이드가 있으면 좋겠습니다.
113,user06,R2026031301432,10,5,체크인 과정이 간편하고 빨랐습니다. 시설 이용에 전혀 불편함이 없었어요.,3,즐겨찾기 기능을 추가해 주세요. 자주 가는 장소를 저장할 수 있으면 편리할 것 같습니다.
114,user03,R2026031301436,6,3,시설 내 인터넷 속도가 느려서 업무 진행에 어려움이 있었습니다.,3,모바일 앱에서 예약 내역 조회가 더 직관적이었으면 합니다. 현재 UI가 복잡합니다.
115,user06,R2026031301439,7,5,시설 내 인터넷 속도가 느려서 업무 진행에 어려움이 있었습니다.,4,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
116,user05,R2026031301445,5,2,냉방 시설이 과도하게 강해서 춥게 느껴졌습니다. 온도 조절이 필요해 보였어요.,3,앱 로딩 속도가 느린 편입니다. 성능 최적화가 필요합니다.
117,user06,R2026031301453,10,5,주변 소음이 심해서 집중이 어려웠습니다. 방음 시설 개선이 필요해 보였어요.,3,결제 단계가 너무 복잡합니다. 원클릭 결제 기능이 추가되면 편리할 것 같아요.
118,user07,R2026031301454,7,5,인테리어가 아늑하고 분위기가 좋았습니다. 사진 찍기에도 최적의 장소였어요.,3,장기 예약 시 할인 혜택이 있으면 더 적극적으로 이용할 것 같습니다.
119,user01,R2026031301455,4,2,전반적으로 깨끗하고 쾌적했습니다. 위치 접근성도 좋아서 다시 이용하고 싶네요.,2,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
120,user03,R2026031301457,5,2,시설 내 편의용품이 잘 구비되어 있어 매우 편리했습니다. 재방문 의사 있습니다.,1,공간 리뷰의 신뢰성 검증 기능이 있으면 좋겠습니다. 허위 리뷰 방지가 필요합니다.
121,user03,R2026031301464,10,5,직원 응대가 불친절했고 입실 안내도 제대로 이루어지지 않았습니다.,3,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
122,user04,R2026031301465,4,3,공간 내 냄새가 좀 났습니다. 환기가 잘 안 되는 것 같았어요.,3,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
123,user04,R2026031301479,7,4,조용한 환경이 마음에 들었습니다. 일에 집중하기 정말 좋은 곳이었어요.,4,예약 시 공간 이용 규칙을 더 명확히 안내해 주셨으면 합니다.
124,user05,R2026031301480,10,5,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,4,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
125,user07,R2026031301482,8,4,예약 변경이 유연하게 가능해서 만족스러웠습니다. 친절한 서비스였어요.,5,모바일 앱에서 예약 내역 조회가 더 직관적이었으면 합니다. 현재 UI가 복잡합니다.
126,user01,R2026031301490,10,4,공간 규모에 비해 편의시설이 부족한 느낌이었습니다. 특히 음료를 구입할 수 있는 곳이 없었어요.,5,포인트 적립 및 사용 기능이 있으면 재방문 유도에 도움이 될 것 같습니다.
127,user02,R2026031301498,1,2,전체적으로 훌륭한 시설이었습니다. 특히 위치가 좋아 접근성이 매우 뛰어났어요.,3,즐겨찾기 기능을 추가해 주세요. 자주 가는 장소를 저장할 수 있으면 편리할 것 같습니다.
128,user03,R2026031301506,7,5,공간 규모에 비해 편의시설이 부족한 느낌이었습니다. 특히 음료를 구입할 수 있는 곳이 없었어요.,5,예약 확정 후 자동 알림 기능이 강화되었으면 합니다. 이메일과 문자 동시 발송이면 좋겠어요.
